"Story","Title","Result","Date","Stability","Duration (s)"
"Button Beli","Beli one product","SUCCESS","2022-11-08T10:51:51.6994551+07:00[Asia/Bangkok]","0.0","30.65"
"Login","login with email and password","SUCCESS","2022-11-08T10:52:22.3711988+07:00[Asia/Bangkok]","0.0","244.74"
"Logout","Logout","SUCCESS","2022-11-08T10:56:27.1341895+07:00[Asia/Bangkok]","0.0","28.64"
"Register","New Register","SUCCESS","2022-11-08T10:56:55.7904197+07:00[Asia/Bangkok]","0.0","289.76"
